S/T code,S/T name,LGAcode,LGAname,Males,Females,Persons,0-14%,15–64%,65+%
1,New South Wales,10130,Armidale Regional (A),26040,27727,53767,19.4,62.7,17.9
1,New South Wales,10250,Ballina (A),14939,15768,30707,17.9,65.3,16.8
1,New South Wales,10300,Balranald (A),21365,22843,44208,16.9,57.8,25.3
1,New South Wales,10470,Bathurst Regional (A),1205,1135,2340,20.8,61.8,17.4
1,New South Wales,10500,Bayside (A),21709,21497,43206,19.7,64,16.3
1,New South Wales,10550,Bega Valley (A),87369,87009,174378,15.9,70,14.1
1,New South Wales,10600,Bellingen (A),16860,17488,34348,16.2,57.5,26.4
1,New South Wales,10650,Berrigan (A),6305,6658,12963,17.9,58.3,23.8
1,New South Wales,10750,Blacktown (C),4366,4341,8707,17,53.7,29.4
1,New South Wales,10800,Bland (A),183587,182947,366534,22.8,66.8,10.4
1,New South Wales,10850,Blayney (A),3014,2971,5985,20.3,58.2,21.5
1,New South Wales,10900,Blue Mountains (C),3676,3666,7342,20.9,60.6,18.6
1,New South Wales,10950,Bogan (A),38599,40661,79260,18.5,61.6,19.9
1,New South Wales,11150,Bourke (A),1320,1301,2621,20.4,60.6,19
1,New South Wales,11200,Brewarrina (A),1262,1368,2630,24.4,62.8,12.8
1,New South Wales,11250,Broken Hill (C),883,772,1655,23.6,66.1,10.3
1,New South Wales,11300,Burwood (A),8651,9083,17734,17.1,60.6,22.2
1,New South Wales,11350,Byron (A),19592,20294,39886,12.8,73.2,14
1,New South Wales,11400,Cabonne (A),16707,17867,34574,17,65.5,17.5
1,New South Wales,11450,Camden (A),6878,6802,13680,21.5,58.4,20.1
1,New South Wales,11500,Campbelltown (C) (NSW),46423,47736,94159,24.4,65.8,9.8
1,New South Wales,11520,Canada Bay (A),83151,84988,168139,21.9,66,12.1
1,New South Wales,11570,Canterbury-Bankstown (A),46186,48973,95159,16.1,69.1,14.9
1,New South Wales,11600,Carrathool (A),187735,186196,373931,20.4,65.8,13.8
1,New South Wales,11650,Central Coast (C) (NSW),1433,1369,2802,20.9,64.6,14.6
1,New South Wales,11700,Central Darling (A),167140,174907,342047,18.9,60.6,20.5
1,New South Wales,11720,Cessnock (C),984,853,1837,20.5,64.4,15.1
1,New South Wales,11730,Clarence Valley (A),29684,29417,59101,21.2,62.9,16
